state,city,udid_loyal,udid_churned,total,perc_churn,index
GOA,SAWANTWADI,1,2,3,66.7%,8.333333333
MAHARASHTRA,AKKALKUWA,3,3,6,50.0%,6.25
TELANGANA,KADDAM (PEDDUR),3,3,6,50.0%,6.25
BIHAR,BIRPUR,2,2,4,50.0%,6.25
BIHAR,CHARPOKHARI,2,2,4,50.0%,6.25
BIHAR,GOPALPUR,2,2,4,50.0%,6.25
BIHAR,PHENHARA,2,2,4,50.0%,6.25
RAJASTHAN,BASERI,2,2,4,50.0%,6.25
RAJASTHAN,SHEOGANJ,2,2,4,50.0%,6.25
ARUNACHAL PRADESH,KHONSA,1,1,2,50.0%,6.25
ARUNACHAL PRADESH,SAGALEE,1,1,2,50.0%,6.25
BIHAR,BANSDIH,1,1,2,50.0%,6.25
BIHAR,DHOLI (MORAUL),1,1,2,50.0%,6.25
BIHAR,PRANPUR,1,1,2,50.0%,6.25
GUJARAT,TILAKWADA,1,1,2,50.0%,6.25
JHARKHAND,GAWAN,1,1,2,50.0%,6.25
JHARKHAND,MASALIA,1,1,2,50.0%,6.25
JHARKHAND,SARAIYAHAT,1,1,2,50.0%,6.25
MADHYA PRADESH,CHITTAURGARH,1,1,2,50.0%,6.25
MAHARASHTRA,CHIKHALDARA,1,1,2,50.0%,6.25
NAGALAND,NAGINIMORA,1,1,2,50.0%,6.25
ODISHA,NAYAGRAM,1,1,2,50.0%,6.25
ODISHA,RAIRANGPUR TOWN,1,1,2,50.0%,6.25
PUNJAB,GARHSHANKAR,1,1,2,50.0%,6.25
UTTARAKHAND,DHARI,1,1,2,50.0%,6.25
UTTAR PRADESH,BARHAMPUR,1,1,2,50.0%,6.25
WEST BENGAL,SORENG,1,1,2,50.0%,6.25
BIHAR,CHEHRA KALAN,4,3,7,42.9%,5.357142857
HARYANA,CHIRAWA,4,3,7,42.9%,5.357142857
BIHAR,RIGA,3,2,5,40.0%,5
GUJARAT,DAMAN,3,2,5,40.0%,5
