state,zipcode,airtel_share_apr,jio_share_apr,idea_share_apr,vodafone_share_apr,airtel_share_may,jio_share_may,idea_share_may,vodafone_share_may,airtel_growth,jio_growth,idea_growth,vodafone_growth
WEST BENGAL,711301,77%,17%,3%,4%,11%,65%,11%,12%,-65%,48%,9%,8%
TAMIL NADU,628402,64%,33%,2%,2%,4%,65%,13%,17%,-59%,32%,12%,16%
TELANGANA,505462,78%,16%,5%,1%,20%,21%,56%,2%,-58%,5%,51%,1%
GUJARAT,388307,83%,10%,2%,4%,30%,50%,10%,10%,-53%,40%,8%,6%
UTTAR PRADESH,274604,62%,22%,1%,14%,12%,60%,2%,26%,-50%,38%,1%,12%
GUJARAT,360330,54%,17%,8%,21%,4%,38%,12%,46%,-50%,22%,3%,25%
GUJARAT,384246,71%,14%,9%,7%,22%,17%,8%,53%,-48%,3%,0%,46%
RAJASTHAN,301002,61%,8%,16%,15%,15%,0%,3%,81%,-46%,-8%,-12%,66%
MAHARASHTRA,412406,64%,28%,2%,6%,18%,29%,45%,9%,-46%,0%,42%,3%
GUJARAT,383230,59%,9%,5%,27%,14%,72%,3%,11%,-45%,63%,-2%,-16%
TAMIL NADU,628251,66%,29%,1%,4%,22%,56%,7%,15%,-44%,27%,6%,11%
WEST BENGAL,741165,45%,37%,2%,16%,3%,10%,0%,87%,-43%,-27%,-2%,71%
KARNATAKA,576212,56%,40%,2%,2%,14%,42%,43%,1%,-42%,1%,41%,0%
UTTAR PRADESH,212203,43%,53%,2%,2%,2%,96%,0%,2%,-41%,43%,-2%,0%
UTTARAKHAND,263160,54%,29%,12%,5%,14%,58%,23%,4%,-40%,29%,11%,0%
RAJASTHAN,305004,91%,0%,2%,6%,52%,0%,0%,47%,-39%,0%,-2%,41%
KERALA,671543,43%,32%,18%,7%,4%,74%,17%,5%,-39%,42%,-1%,-2%
TAMIL NADU,628621,47%,37%,14%,2%,9%,68%,16%,7%,-38%,31%,2%,5%
TAMIL NADU,625017,67%,29%,1%,4%,29%,52%,10%,10%,-38%,24%,8%,6%
WEST BENGAL,743126,44%,54%,1%,1%,6%,80%,12%,2%,-38%,26%,11%,1%
HARYANA,136135,43%,5%,11%,41%,5%,0%,4%,90%,-38%,-4%,-7%,50%
MAHARASHTRA,416514,44%,22%,22%,11%,8%,27%,23%,42%,-37%,5%,1%,31%
TELANGANA,502248,46%,43%,11%,1%,9%,74%,17%,0%,-37%,31%,6%,0%
ANDHRA PRADESH,522306,48%,33%,14%,5%,12%,84%,2%,2%,-36%,50%,-12%,-2%
WEST BENGAL,713146,59%,35%,1%,5%,23%,61%,1%,15%,-36%,26%,1%,9%
UTTAR PRADESH,274602,44%,46%,3%,7%,8%,75%,5%,12%,-36%,29%,2%,5%
HARYANA,125121,64%,4%,23%,10%,28%,1%,24%,47%,-36%,-3%,1%,37%
UTTAR PRADESH,206003,81%,14%,4%,1%,46%,22%,9%,22%,-35%,8%,6%,21%
MAHARASHTRA,401603,52%,18%,18%,13%,18%,48%,24%,11%,-34%,30%,6%,-1%
PUDUCHERRY,605002,51%,32%,14%,3%,17%,70%,9%,4%,-34%,38%,-5%,1%
CHANDIGARH,160019,72%,0%,5%,23%,38%,0%,3%,59%,-34%,0%,-2%,36%
KARNATAKA,591234,80%,10%,5%,5%,46%,30%,22%,1%,-34%,20%,17%,-4%
MAHARASHTRA,413544,47%,33%,18%,2%,14%,34%,50%,2%,-34%,1%,32%,0%
TAMIL NADU,606208,58%,30%,1%,11%,24%,67%,1%,8%,-34%,36%,0%,-3%
MAHARASHTRA,422601,46%,34%,9%,11%,13%,67%,13%,8%,-33%,32%,4%,-3%
MAHARASHTRA,415304,38%,12%,34%,16%,5%,48%,41%,6%,-33%,36%,7%,-10%
MAHARASHTRA,423111,37%,11%,46%,6%,4%,10%,9%,77%,-33%,-1%,-37%,71%
ANDHRA PRADESH,517589,61%,29%,8%,2%,28%,37%,34%,1%,-33%,8%,26%,-2%
TELANGANA,502305,43%,46%,10%,1%,11%,81%,8%,0%,-33%,34%,-2%,0%
PUNJAB,143001,64%,1%,14%,21%,32%,1%,6%,61%,-33%,-1%,-8%,41%
KARNATAKA,584139,62%,16%,19%,2%,30%,62%,6%,1%,-32%,46%,-13%,-1%
CHANDIGARH,160018,85%,9%,5%,1%,54%,6%,8%,33%,-31%,-4%,4%,32%
GUJARAT,384160,36%,26%,23%,15%,6%,79%,6%,9%,-30%,54%,-17%,-6%
UTTAR PRADESH,245412,46%,41%,6%,7%,15%,63%,12%,10%,-30%,22%,6%,2%
TAMIL NADU,629167,43%,18%,2%,36%,13%,52%,0%,34%,-30%,34%,-2%,-2%
KARNATAKA,576247,42%,24%,29%,5%,12%,72%,13%,2%,-30%,48%,-16%,-3%
RAJASTHAN,303301,74%,2%,9%,15%,45%,5%,38%,13%,-30%,3%,29%,-2%
KERALA,679523,41%,40%,11%,8%,11%,50%,21%,18%,-30%,10%,10%,10%
TAMIL NADU,627805,48%,50%,1%,1%,19%,75%,5%,1%,-29%,25%,4%,0%
TAMIL NADU,600067,47%,44%,4%,5%,18%,73%,5%,5%,-29%,29%,0%,0%
KARNATAKA,571123,63%,27%,6%,4%,34%,53%,9%,3%,-29%,26%,3%,-1%
TAMIL NADU,611108,54%,35%,6%,4%,26%,58%,6%,10%,-28%,23%,0%,6%
UTTARAKHAND,246172,67%,28%,2%,2%,39%,43%,9%,9%,-28%,15%,7%,7%
HARYANA,132023,69%,2%,26%,2%,41%,4%,11%,43%,-28%,2%,-15%,41%
TAMIL NADU,629204,59%,18%,5%,18%,31%,55%,5%,10%,-28%,37%,0%,-9%
UTTAR PRADESH,271208,40%,2%,15%,43%,13%,3%,17%,67%,-28%,1%,2%,25%
KARNATAKA,591225,73%,14%,12%,1%,46%,44%,8%,3%,-27%,30%,-4%,2%
KARNATAKA,583223,61%,34%,5%,1%,34%,58%,7%,1%,-27%,24%,2%,0%
MAHARASHTRA,431704,38%,56%,6%,1%,11%,71%,16%,2%,-27%,15%,10%,1%
MAHARASHTRA,416405,40%,27%,29%,4%,14%,51%,34%,2%,-27%,24%,5%,-2%
GOA,403410,40%,30%,10%,20%,14%,14%,68%,5%,-26%,-16%,58%,-15%
GUJARAT,370455,37%,29%,10%,24%,11%,64%,2%,24%,-26%,34%,-8%,0%
